anime_id,name,score,genres,type,episodes,aired_start,premiered,status,studios,source,rating,rank,popularity,favorites,scored_by
1431,Lupin III: Ai no Da Capo - Fujiko's Unlucky Days,6.76,"Action, Adventure, Comedy, Mystery",Special,1,1999,summer 1999,Finished,,Manga,PG-13,5020,6945,4,2819
19569,Junjou Shoujo Et Cetera,6.62,Hentai,OVA,2,2013,summer 2013,Finished,Studio 1st,Manga,Rx,,7135,14,2449
17345,Senran Kagura Specials,6.41,Ecchi,Special,6,2013,winter 2013,Finished,Artland,,PG-13,6846,4816,22,6762
3215,Fuyu no Hi,6.02,Award Winning,Movie,1,2003,fall 2003,Finished,,Book,R+,8739,8394,6,1494
36119,Uma no Friends,6.19,"Comedy, Fantasy, Sports",ONA,1,2017,summer 2017,Finished,,Game,G,7914,8602,3,1576
17353,Tenpou Suikoden Neo,4.81,,TV,5,2013,winter 2013,Finished,Kachidoki Studio,,PG-13,12187,12226,3,227
1434,Lupin III: Harimao no Zaihou wo Oe!!,6.91,"Action, Adventure, Comedy, Mystery",Special,1,1995,summer 1995,Finished,,Manga,PG-13,4338,6955,2,2996
38644,Yume ga Shagandeiru,5.26,Avant Garde,Movie,4,2008,,Finished,,Original,G,11452,16810,0,146
36112,Dragon Quest X: Boukensha-tachi no Kiseki,5.5,Slice of Life,ONA,2,2017,summer 2017,Finished,,Original,G,10787,14302,0,121
49977,Candy.zip,5.81,Award Winning,Movie,1,2017,,Finished,,Original,PG-13,9641,14430,0,334
49975,Heroes,5.67,Sports,ONA,5,2021,spring 2021,Finished,,Other,G,10175,16636,1,117
49976,Look at Me Only,6.26,"Award Winning, Slice of Life",Movie,1,2016,,Finished,,Original,PG-13,7592,14501,0,315
4709,Aesop's World,5.66,,TV,26,1999,spring 1999,Finished,Sunrise,,G,10217,13979,1,175
36104,Haha no Supporter,6.01,Drama,ONA,1,2016,fall 2016,Finished,,Original,G,8808,14997,1,250
3210,Ikoku Irokoi Romantan,6.92,"Boys Love, Comedy, Romance, Erotica",OVA,2,2007,fall 2007,Finished,PrimeTime,Manga,R+,,3122,106,24422
4714,The Rapeman,6.23,Hentai,OVA,2,1994,fall 1994,Finished,TEC,Manga,Rx,,6848,92,3113
36109,Boku dake no Hentai Kanojo Motto♥ The Animation,6.3,Hentai,OVA,1,2017,summer 2017,Finished,Studio 1st,Manga,Rx,,6167,36,3759
36197,Infini-T Force Movie: Gatchaman - Saraba Tomo yo,6.2,"Action, Sci-Fi",Movie,1,2018,winter 2018,Finished,Tatsunoko Production,Manga,,7883,10723,0,303
